# Foglio1
Causale	Tipo Soggetto	"Matricola INPS Codice INPS Filiale azienda (cfr. tabella ""Formati"")"	Inizio riferimento	Fine riferimento	Modalità di utilizzo (1)								
DM10	DM10 attivi, passivi, insoluti	Formato 1	MM/AAAA>=01/1989 MM/AAAA<=Data Riscossione	0	E								
DMRA	DMRA rettificativi	Formato 1	MM/AAAA>=01/1989 MM/AAAA<=Data Riscossione	0	D								
RC01	Crediti previdenziali	Formato 1	MM/AAAA<=Data Riscossione	MM/AAAA >= periodo inizio riferimento	D								
DMDP-DMDD	Rate dilazioni previdenziali	Formato 1	MM/AAAA<=Data Riscossione	MM/AAAA >= periodo inizio riferimento	D								
SSDP-SSDD 	Recupero crediti sanitari	Formato 1	MM/AAAA<=Data Riscossione	MM/AAAA >= periodo inizio riferimento	D								
DPPI	Gestione 10% professionisti - Rate ed interessi	Formato 6	MM/AAAA>=01/1998 MM/AAAA<=Data Riscossione	MM/AAAA; dove AAAA = AAAA inizio riferimento e MM >= MM inizio riferimento	D								
AF-CF	Artigiani e Commercianti - contributi sul minimale e correnti	Formato 3	MM/AAAA<=Data Riscossione	MM/AAAA; dove AAAA = AAAA inizio riferimento e MM >= MM inizio riferimento	E								
AP-CP	Artigiani e Commercianti - contributi extra minimale e correnti	Formato 3	MM/AAAA<=Data Riscossione	MM/AAAA; dove AAAA = AAAA inizio riferimento e MM >= MM inizio riferimento	E								
APR-API-CPI-CPR	Artigiani e Commercianti - contributi extra minimale e correnti	Formato 3	MM/AAAA>=01/1998 MM/AAAA<=Data Riscossione	MM/AAAA; dove AAAA = AAAA inizio riferimento e MM >= MM inizio riferimento	D								
AFP-CFP-APP-CPP	Artigiani e Commercianti - contributi anni pregressi	Formato 3	MM/AAAA<=Data Riscossione	MM/AAAA >= periodo inizio riferimento	D								
AD-AR-ARI-ARM-CD-CR-CRI-CRM-ARN-ARIN-ARMN-CRN-CRIN-CRMN	Artigiani e Commercianti - recupero	Formato 3	MM/AAAA<=Data Riscossione	MM/AAAA >= periodo inizio riferimento	D								
LAS	Aziende agricole per OTI e OTD - contributi correnti	Formato 5	MM/AAAA>=10/1997 MM/AAAA<=Data Riscossione	MM/AAAA; dove AAAA = AAAA inizio riferimento e MM >= MM inizio riferimento	D								
LASP	Aziende agricole per OTI e OTD - contributi pregressi	Formato 5	MM/AAAA<=Data Riscossione	MM/AAAA >= periodo inizio riferimento	D								
LAA-PCF-LAAP-PCFP	Lavoratori autonomi agricoli e PC/CF	Formato 5	NN/AAAA; dove NN=N°rata (da 01 a 04) e AAAA=anno (>1997)	0	D								
LASS	Aziende agricole per OTI e OTD - contributi pregressi - SSN	Formato 5	MM/AAAA<=Data Riscossione	MM/AAAA>=inizio periodo di rifer.	D								
RLAA-RLAS-RPCF-KLAA-KPCF-KLAS	Lavoratori agricoli e PC/CF- versamenti IVS	Formato 5	MM/AAAA<=Data Riscossione	MM/AAAA>=inizio periodo di rifer.	D								
PCFS	PC/CF - contributi pregressi SSN	Formato 5	NN/AAAA; dove NN=N°rata (da 01 a 04) e AAAA=anno (>1997)	0	D								
PESC	Pescatori autonomi	Formato 4	MM/AAAA>=01/1998 MM/AAAA<=Data Riscossione	0	D								
C10-CXX	Gestione Committenti	Formato 2	MM/AAAA>=01/1996 MM/AAAA<=Data Riscossione	0	D								
P10-PXX	Gestione Professionisti	Formato 6	MM/AAAA>=01/1996 MM/AAAA<=Data Riscossione	MM/AAAA; dove AAAA = AAAA inizio riferimento e MM >= MM inizio riferimento	E								
P10R-PXXR	Gestione Professionisti - Rate e interessi	Formato 6	MM/AAAA>=01/1998 MM/AAAA<=Data Riscossione	MM/AAAA; dove AAAA = AAAA inizio riferimento e MM >= MM inizio riferimento	D								
DOM1	Datori di lavoro domestico	Formato 9 	MM/AAAA<=Data Riscossione	MM/AAAA>=inizio periodo di rifer.	D								
DOM2	Datori di lavoro domestico (condono Legge 140/1997)	Formato 7	0	0	D								
BLAA-BPCF-BLAS	Agricoli	Formato 5	0	0	R								
DLAS-DLAA	Agricoli	Formato 5	0	0	D								
ABS-CBS	Artigiani–Commercianti Condoni/Bonus Sanzioni	Formato 3	0	0	R								
VMCF- VMCS	Rimborsi visite mediche di controllo	Formato 8	MMAAAA oppure 0	MMAAAA oppure 0	D								
EBCM-EBTU	Contributi dovuti dai datori di lavoro per finanziamento di Enti Bilaterali (Commercio, Turismo)	Formato 1	MMAAAA	0	D								
EMCO	Regolarizzazione lavoro sommerso -Collaboratori continuativi	Formato 2	MMAAAA	0	D								
EMLA	Regolarizzazione lavoro sommerso - Lavoratori agricoli	Formato 5	MMAAAA	0	D								
VAL - PIE -LOM - VEN - FRI - LIG - EMI - TOS - MAR - UMB - LAZ - ABR - MOL - CAM - PUG - BAS - CAL - SIC - SAR - TRE - BOL   	Crediti Servizio Sanitario Nazionale regione xxx	Formato 1	0	0	D								
DMC	Area DM - Condono	Formato 1	0	0	D								
DOM3	Area lavoratori domestici - recupero crediti LD03	Formato 9	MMAAAA >= 4/1973, < = data di riscossione	MM/AAAA>=inizio periodo di rifererimento 	D								
COC - COS - COSI	Gestione commitenti - recupero crediti, sanzioni, interessi	Formato 9	MMAAAA oppure 0	MMAAAA oppure 0	D								
POC - POS - POSI	Gestione Professionisti - Rate e interessi	Formato 9	MMAAAA oppure 0	MMAAAA oppure 0	D								
DSOS	DM - calamità	Formato 10	MMAAAA oppure 0	MMAAAA oppure 0	D								
APMF	Gestione artigiani - Contributi a percentuale richiesti a seguito di accertamento fiscale	Formato 7	MMAAAA	MM/AAAA>=inizio periodo di rifererimento 	D								
CPMF	Gestione commercianti - Contributi a percentuale richiesti a seguito di accertamento fiscale	Formato 7	MMAAAA	MM/AAAA>=inizio periodo di rifererimento 	D								
LPMF	Gestione liberi professionisti - Contributi a percentuale richiesti a seguito di accertamento fiscale	Formato 7	MMAAAA	MM/AAAA>=inizio periodo di rifererimento 	D								
FIPP	Federazione Panificatori  Pasticceri	Formato 1	MMAAAA	0	D								
MOBL	Mobilità lunga	Formato 1	MMAAAA	MM/AAAA>=inizio periodo di rifererimento 	D								
ASS	Associati in partecipazione	Formato 2	MM/AAAA<=Data Riscossione	0	D								
EBCE	Finanziamento Enti Bilaterali CED	Formato 1	MMAAAA	0	D								
TUEB	Finanziamento Enti Bilaterali Turismo	Formato 1	MMAAAA	0	D								
PORT	Finanziamento Enti Bilaterali Portieri	Formato 1	MMAAAA	0	D								
RCFL	Recupero sgravi CFL UE	Formato 1	0	0	D								
UNSI	Unione Nazionale Sindacale Imprenditori e Coltivatori	Formato 1	0	0	D								
TCEB	Enti Bilaterali per il Terziario	Formato 1	MMAAAA	0	D								
DMRP	Rettifiche da mod. DM10/2	Formato 1	MM/AAAA >= 01/2005, < = data di riscossione	0	R								
ASSP	Contributi di assistenza sanitaria supplementare	Formato 1	MM/AAAA<=data di riscossione	MM/AAAA >= periodo inizio riferimento	D								
PRCA	Aziende DM -Dilazione on line	Formato 1	MM/AAAA<=data di riscossione	MM/AAAA >= periodo inizio riferimento	D								
EBNA	Datori di lavoro - Contributi per il finanziamento dell’Ente bilaterale settore artigianato	Formato 1	MMAAAA	0	D								
CIFE	Datori di lavoro - Contributi per il finanziamento dell’Ente Bilaterale Settore Privato- E.BI.NA.S.PRI	Formato 1	MMAAAA	0	D								
EST1	Datori di lavoro - Contributi per il finanziamento dell’Ente di Assistenza Sanitaria Integrativa Fondo Est	Formato 1	MMAAAA	0	D								
EBAR	Datori di lavoro - contributi per il finanziamento dell’Ente bilaterale EBAR	Formato 1	MMAAAA	0	D								
ONBS	Datori di lavoro - contributi per il finanziamento dell’Ente bilaterale ONBSI	Formato 1	MMAAAA	0	D								
HTL1	Datori di lavoro - contributi per finanziamento di Federalberghi 	Formato 1	MMAAAA	0	D								
ACIM	Datori di lavoro - anticipazione contributo di ingresso mobilità 	Formato 1	MM/AAAA<=Data Riscossione	0	D								
EBA1	Contributo di finanziamento dell'Ente Bilaterale dell'artigianato per la formazione e la sicurrezza EBAFOS	Formato 1	MM/AAAA<=Data Riscossione	0	D								
PANE	Contributo di finanziamento dell'Ente Bilaterale nazionale della panificazione e attività affini EBIPAN	Formato 1	MM/AAAA<=Data Riscossione	0	D								
ENBA	Datori di lavoro - contributi per il finanziamento dell'Ente Bilaterale ENBASS	Formato 1	MMAAAA	0	D								
CCNL	Contributo di finanziamento dell’Ente Bilaterale della pesca (EBI PESCA)	Formato 1	MM/AAAA<=Data Riscossione	0	D								
ART1	Fondo di Assistenza Sanitaria Integrativa per i Lavoratori dell’Artigianato-SAN.ARTI	Formato 1	MM/AAAA<=Data Riscossione	0	D								
SADP	Sanzione amministrativa per incremento addizionale passeggeri – omessa comunicazione	Formato 1	MM/AAAA<=Data Riscossione	0	D								
ENBI	Ente Nazionale Bilaterale del Terziario-EBITEN	Formato 1	MMAAAA	0	D								
FEDA	Ente bilaterale aziende private - E.BI.AP.	Formato 1	MMAAAA	0	D								
